R_ue_bin_left_edge,R_ue
-8.0,1.0
-7.91,1.0
-7.82,1.0
-7.73,1.0
-7.64,1.0
-7.55,1.0
-7.46,1.0
-7.37,1.0
-7.28,1.0
-7.19,1.0
-7.1,1.0
-7.01,1.0
-6.92,1.0
-6.83,1.0
-6.74,1.0
-6.65,1.0
-6.5600000000000005,1.0
-6.47,1.0
-6.38,1.0
-6.29,1.0
-6.2,1.0
-6.11,1.0
-6.02,1.0
-5.93,1.0
-5.84,1.0
-5.75,1.0
-5.66,1.0
-5.57,1.0
-5.48,1.0
-5.390000000000001,1.0
-5.300000000000001,1.0
-5.21,1.0
-5.12,1.0
-5.03,1.0
-4.9399999999999995,1.0
-4.85,1.0
-4.76,1.0
-4.67,1.0
-4.58,1.0
-4.49,1.0
-4.4,1.0
-4.3100000000000005,1.0
-4.220000000000001,1.0
-4.130000000000001,1.0
-4.04,1.0
-3.95,1.0
-3.8600000000000003,1.0
-3.7700000000000005,1.0
-3.6799999999999997,1.0
-3.59,1.0
