recE_bin_left_edge,recE
0.0,1.0
0.08,0.0
0.16,2.5487058087541947
0.24,3.1790060161951095
0.32,2.3693342659594534
0.4,2.080714117214766
0.48,1.6784911211592572
0.56,1.6456847130011292
0.64,1.389998001767242
0.72,1.1564543633254782
0.8,0.9816880028634434
0.88,0.8908570051888524
0.96,0.8445253609724315
1.04,0.842066807405415
1.12,0.8608353028629242
1.2,0.8904764777091176
1.28,0.9310740362724886
1.36,0.9946902964135402
1.44,1.050912907464147
1.52,1.119910359110293
1.6,1.1547026865742025
1.68,1.2344936086240619
1.76,1.3005309449121765
1.84,1.3686922453163388
1.92,1.420200519648595
2.0,1.344885407176898
2.08,1.3613815886416198
2.16,1.3513410379060526
2.24,1.4164543435180639
2.32,1.330259230013236
2.4,1.368849869092093
2.48,1.3302764838589698
2.56,1.3382797058837144
2.64,1.2832791543000677
2.72,1.466917966068579
2.8000000000000003,1.419294879635081
2.88,1.5348704695546356
2.96,1.6047643793102184
3.04,1.3198290451749815
3.12,1.3121040694336692
3.2,1.2620168374127025
3.2800000000000002,1.194979332690486
3.36,1.3927360156843898
3.44,1.2820781502951397
3.52,1.2633080106233574
3.6,1.200818726974759
3.68,1.7359660510085184
3.7600000000000002,1.193934591313578
3.84,0.2052161518404982
3.92,0.09016958223519184
