Rotation 0 deg zeroZ 4400
id x y z 
1 -578.188 41.628 4395.790
2 -578.188 11.628 4396.550
3 -578.188 -18.372 4396.140
4 -578.188 -48.372 4395.800
5 -551.207 142.128 4398.090
6 -552.207 116.628 4397.560
7 -559.207 84.628 4395.870
8 -552.207 56.628 4395.890
9 -552.207 26.628 4396.840
10 -552.207 -3.372 4396.510
11 -552.207 -33.372 4396.270
12 -552.207 -63.372 4397.090
14 -552.207 -123.372 4395.370
15 -552.207 -153.372 4395.290
16 -526.226 221.628 4400.460
17 -515.556 180.320 4404.730
18 -523.495 154.983 4399.590
19 -532.226 126.128 4397.560
20 -526.226 101.628 4396.320
21 -526.226 71.628 4396.040
22 -526.226 41.628 4396.610
23 -526.226 11.628 4397.060
24 -526.226 -18.372 4397.300
25 -526.226 -48.372 4397.160
26 -526.226 -78.372 4396.360
27 -526.226 -108.372 4395.490
28 -526.226 -138.372 4395.380
29 -526.226 -163.372 4395.260
30 -526.200 -198.430 4393.000
31 -526.170 -228.440 4393.060
32 -500.246 266.628 4401.030
33 -500.246 236.628 4401.350
34 -499.246 208.628 4400.270
35 -493.889 170.271 4403.910
36 -500.835 139.640 4399.650
38 -500.246 82.128 4397.270
39 -500.246 56.628 4397.240
40 -500.246 26.628 4397.710
41 -500.246 -3.372 4397.300
42 -500.246 -33.372 4397.600
43 -500.246 -63.372 4396.660
44 -500.246 -93.372 4396.070
45 -500.246 -123.372 4395.330
46 -500.246 -148.372 4395.220
47 -500.250 -183.390 4392.920
48 -500.280 -213.380 4392.920
49 -500.180 -243.380 4392.870
50 -500.250 -273.370 4392.800
51 -463.265 307.128 4403.240
52 -478.765 272.628 4401.370
53 -474.265 251.628 4399.520
54 -474.265 221.628 4402.220
55 -469.765 191.628 4400.190
56 -474.265 161.628 4399.680
57 -481.332 122.180 4397.130
60 -477.265 41.628 4400.090
61 -474.265 11.628 4399.170
62 -474.265 -18.372 4397.600
63 -474.265 -48.372 4396.930
64 -474.265 -78.372 4396.450
65 -474.265 -108.372 4395.500
66 -474.265 -138.372 4395.240
67 -474.270 -172.450 4393.540
68 -474.310 -198.420 4393.110
69 -474.200 -228.390 4393.000
70 -474.250 -258.390 4393.250
71 -474.250 -288.360 4393.010
72 -474.260 -318.490 4393.090
73 -444.284 356.628 4402.750
74 -444.284 328.628 4402.630
75 -448.284 298.628 4401.590
76 -448.284 266.628 4400.720
77 -448.284 239.628 4398.940
78 -443.784 206.628 4398.410
79 -445.284 180.628 4398.000
80 -449.284 146.628 4396.810
81 -441.284 121.628 4397.890
82 -451.111 97.530 4398.570
83 -461.942 64.822 4397.900
84 -441.774 29.356 4406.050
85 -448.284 -3.372 4399.350
86 -448.284 -33.372 4397.350
87 -448.284 -63.372 4396.630
88 -448.284 -93.372 4395.830
89 -448.284 -123.372 4395.590
90 -448.284 -143.372 4395.440
91 -448.260 -183.430 4393.440
92 -448.260 -213.430 4392.900
93 -448.320 -243.380 4393.020
94 -448.290 -273.420 4393.040
95 -448.250 -303.390 4393.090
96 -448.290 -333.370 4392.430
97 -424.303 360.628 4402.780
98 -418.303 335.628 4401.690
99 -415.303 315.628 4401.350
100 -419.303 286.128 4400.330
101 -417.803 251.628 4399.450
102 -422.303 220.628 4397.330
103 -418.303 191.628 4395.920
104 -422.303 161.628 4396.120
105 -422.303 131.628 4395.870
106 -422.303 101.628 4397.730
107 -422.303 71.628 4397.840
108 -422.303 41.628 4401.310
109 -419.969 10.508 4404.360
110 -425.303 -21.372 4398.860
111 -422.303 -48.372 4396.830
112 -422.303 -78.372 4396.960
113 -422.303 -108.372 4395.760
114 -422.303 -135.372 4395.550
115 -422.210 -173.370 4393.370
116 -422.250 -198.470 4393.160
117 -422.210 -228.390 4392.460
118 -422.260 -258.460 4392.500
119 -422.390 -288.430 4392.630
120 -422.320 -318.320 4392.500
121 -422.310 -348.370 4392.770
122 -422.310 -378.370 4392.260
124 -396.323 385.628 4404.550
125 -398.323 356.628 4401.870
126 -396.323 326.628 4401.430
127 -400.323 292.628 4399.790
128 -399.323 266.628 4399.640
129 -396.323 236.628 4397.390
130 -396.323 206.628 4395.510
131 -396.323 176.628 4395.830
132 -396.323 146.628 4395.800
133 -399.323 116.628 4396.240
134 -396.323 79.628 4395.600
135 -396.323 56.628 4395.710
136 -396.323 26.628 4399.320
137 -397.666 -5.931 4403.130
138 -396.323 -33.372 4399.270
139 -396.323 -63.372 4396.970
140 -396.323 -93.372 4396.390
141 -396.323 -123.372 4395.780
142 -396.290 -164.360 4393.260
143 -396.390 -183.580 4393.060
144 -396.270 -213.420 4392.840
145 -396.340 -243.410 4392.440
146 -396.310 -273.380 4392.620
147 -396.330 -303.390 4392.420
148 -396.330 -333.370 4392.340
149 -396.270 -363.420 4392.760
150 -396.330 -393.370 4392.630
153 -370.342 365.628 4402.170
154 -372.342 343.628 4401.100
155 -363.342 311.628 4398.120
156 -370.342 281.628 4399.240
157 -372.842 251.628 4397.250
158 -370.342 221.628 4395.580
159 -374.342 187.628 4395.730
160 -370.342 161.628 4393.370
161 -370.342 131.628 4393.880
162 -370.342 101.628 4393.350
163 -370.342 71.628 4393.300
164 -370.342 41.628 4395.510
165 -370.342 11.628 4396.280
166 -370.342 -18.372 4405.010
167 -370.342 -48.372 4400.310
168 -370.342 -78.372 4396.640
169 -370.342 -108.372 4395.990
170 -370.342 -133.372 4395.760
171 -370.190 -178.360 4393.450
172 -370.330 -198.370 4393.100
173 -370.310 -228.450 4393.340
174 -370.350 -258.350 4393.290
175 -370.340 -288.360 4392.310
176 -370.370 -318.380 4392.010
177 -370.370 -348.360 4392.300
178 -370.340 -378.370 4392.360
179 -370.340 -408.370 4392.110
180 -370.340 -438.370 4392.350
183 -351.361 382.128 4402.460
184 -344.361 356.628 4400.410
185 -348.361 326.628 4400.030
186 -344.361 296.628 4397.900
187 -342.361 266.628 4397.460
188 -342.361 239.628 4394.910
189 -344.361 211.628 4394.220
190 -354.361 176.628 4393.340
191 -338.240 146.300 4395.400
192 -348.361 114.628 4393.000
193 -344.361 86.628 4392.990
194 -350.361 51.128 4393.270
195 -349.361 26.628 4394.470
196 -347.361 1.628 4395.390
197 -342.361 -31.872 4401.740
198 -346.361 -67.372 4399.970
199 -349.361 -93.372 4398.140
200 -344.361 -123.372 4394.410
201 -346.361 -155.372 4391.490
202 -344.700 -183.770 4393.160
203 -344.280 -213.400 4393.850
204 -344.310 -243.300 4393.960
205 -344.370 -273.320 4395.600
206 -344.320 -303.410 4392.760
207 -344.250 -333.300 4392.070
208 -344.360 -363.410 4392.110
209 -344.360 -393.420 4392.210
210 -344.270 -423.490 4392.150
211 -344.310 -453.460 4391.970
214 -318.380 401.628 4402.920
215 -311.380 364.628 4400.360
216 -318.380 341.628 4399.910
217 -319.880 311.628 4399.360
218 -318.380 281.628 4397.560
219 -318.380 251.628 4394.780
220 -320.380 221.628 4394.310
221 -318.380 191.628 4393.380
222 -318.640 161.370 4395.500
223 -318.320 131.420 4395.090
224 -318.380 101.628 4392.950
225 -318.380 71.628 4393.170
226 -315.380 41.628 4392.900
227 -318.380 5.628 4394.790
228 -318.380 -18.372 4395.210
229 -318.380 -40.372 4400.340
230 -313.380 -83.372 4396.810
231 -318.380 -107.372 4399.230
233 -321.260 -168.420 4394.010
234 -318.350 -198.470 4394.400
235 -318.380 -228.370 4395.330
236 -318.310 -258.270 4395.940
237 -318.300 -288.350 4395.900
238 -318.360 -318.430 4392.460
239 -318.400 -348.400 4392.070
240 -318.420 -378.380 4391.790
241 -318.330 -408.480 4392.320
242 -318.460 -438.430 4392.710
243 -318.380 -468.420 4393.550
246 -296.400 408.628 4401.760
247 -286.400 394.628 4401.070
248 -292.400 356.628 4398.470
249 -292.400 326.628 4398.000
250 -292.400 296.628 4395.850
251 -292.400 266.628 4394.320
252 -291.400 236.628 4393.900
253 -292.400 206.628 4393.350
254 -292.290 176.420 4395.650
255 -292.310 146.530 4395.510
256 -288.260 125.420 4394.900
257 -292.400 86.628 4392.890
258 -292.400 56.628 4392.890
259 -292.400 26.628 4393.860
260 -292.400 -3.372 4394.850
261 -292.400 -33.372 4394.610
262 -292.400 -63.372 4394.500
263 -282.400 -96.370 4394.290
265 -287.360 -153.310 4393.550
266 -299.320 -191.300 4396.980
267 -292.400 -217.370 4397.990
268 -292.290 -243.260 4396.740
269 -292.350 -273.240 4395.530
270 -292.280 -303.370 4394.770
271 -292.320 -333.300 4392.520
272 -292.390 -363.410 4392.790
273 -292.370 -393.420 4392.830
274 -292.400 -423.390 4393.960
275 -292.400 -453.360 4395.290
276 -292.360 -483.320 4395.810
277 -258.419 489.628 4404.420
278 -264.419 461.628 4403.160
279 -268.419 431.628 4401.500
280 -258.419 401.628 4399.610
281 -274.419 371.628 4399.430
282 -266.419 341.628 4396.050
283 -266.419 311.628 4395.750
284 -266.419 281.628 4394.150
285 -270.419 251.628 4393.400
286 -276.419 221.628 4393.310
287 -266.880 182.000 4395.060
288 -266.290 161.370 4394.970
289 -266.750 131.900 4395.600
290 -258.350 101.680 4395.480
291 -258.550 71.640 4394.900
292 -256.400 41.670 4394.970
293 -271.623 9.212 4394.600
294 -266.419 -18.372 4394.840
295 -270.919 -48.372 4393.970
296 -256.440 -73.860 4394.390
297 -266.420 -108.370 4393.720
298 -266.350 -138.360 4394.060
299 -266.380 -168.330 4397.480
300 -266.440 -201.410 4403.380
301 -266.420 -228.370 4399.410
302 -266.420 -258.370 4396.880
303 -266.330 -288.330 4396.540
304 -266.330 -318.350 4396.020
305 -266.300 -348.350 4395.220
306 -266.440 -378.360 4394.420
307 -266.390 -408.400 4395.680
308 -266.390 -438.420 4395.680
309 -266.430 -468.420 4396.000
310 -266.420 -498.370 4395.630
311 -240.540 506.627 4404.210
312 -240.540 476.627 4402.060
313 -240.438 446.628 4400.880
314 -240.438 410.628 4400.740
315 -240.438 386.628 4399.070
316 -240.438 356.628 4396.410
317 -240.438 326.628 4395.320
318 -240.438 296.628 4393.990
319 -240.438 266.628 4393.370
320 -240.180 236.650 4395.350
321 -240.140 206.360 4395.480
322 -240.400 176.480 4395.110
323 -240.440 146.660 4395.200
